class,class_name,top-2-distribution,top-2-distribution,top-4-distribution,top-4-distribution,top-4-distribution,top-4-distribution,top-8-distribution,top-8-distribution,top-8-distribution,top-8-distribution,top-8-distribution,top-8-distribution,top-8-distribution,top-8-distribution
,,cluster 0 dist,cluster 1 dist,cluster 0 dist,cluster 1 dist,cluster 2 dist,cluster 3 dist,cluster 0 dist,cluster 1 dist,cluster 2 dist,cluster 3 dist,cluster 4 dist,cluster 5 dist,cluster 6 dist,cluster 7 dist
0,Class_0,0.39416058394160586,0.6058394160583942,0.39416058394160586,0.35036496350364965,0.06569343065693431,0.1897810218978102,0.24087591240875914,0.043795620437956206,0.10948905109489052,0.19708029197080293,0.15328467153284672,0.06569343065693431,0.058394160583941604,0.13138686131386862
1,Class_1,0.368,0.632,0.368,0.368,0.088,0.176,0.232,0.024,0.112,0.232,0.136,0.088,0.048,0.128
2,Class_2,0.4217687074829932,0.5782312925170068,0.4217687074829932,0.3333333333333333,0.07482993197278912,0.17006802721088435,0.19727891156462585,0.047619047619047616,0.17687074829931973,0.17006802721088435,0.16326530612244897,0.07482993197278912,0.061224489795918366,0.10884353741496598
3,Class_3,0.3252032520325203,0.6747967479674797,0.3252032520325203,0.3252032520325203,0.10569105691056911,0.24390243902439024,0.1951219512195122,0.024390243902439025,0.10569105691056911,0.2032520325203252,0.12195121951219512,0.10569105691056911,0.06504065040650407,0.17886178861788618
4,Class_4,0.4921875,0.5078125,0.4921875,0.2734375,0.0234375,0.2109375,0.28125,0.0390625,0.171875,0.1875,0.0859375,0.0234375,0.0625,0.1484375
5,Class_5,0.41379310344827586,0.5862068965517241,0.41379310344827586,0.3448275862068966,0.022988505747126436,0.21839080459770116,0.19540229885057472,0.04597701149425287,0.1724137931034483,0.20689655172413793,0.13793103448275862,0.022988505747126436,0.08045977011494253,0.13793103448275862
6,Class_6,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3448275862068966,0.05747126436781609,0.26436781609195403,0.1724137931034483,0.034482758620689655,0.12643678160919541,0.1839080459770115,0.16091954022988506,0.05747126436781609,0.06896551724137931,0.19540229885057472
7,Class_7,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.2077922077922078,0.11688311688311688,0.24675324675324675,0.22077922077922077,0.025974025974025976,0.18181818181818182,0.07792207792207792,0.12987012987012986,0.11688311688311688,0.1038961038961039,0.14285714285714285
8,Class_8,0.4946236559139785,0.5053763440860215,0.4946236559139785,0.27956989247311825,0.06451612903225806,0.16129032258064516,0.21505376344086022,0.06451612903225806,0.21505376344086022,0.12903225806451613,0.15053763440860216,0.06451612903225806,0.043010752688172046,0.11827956989247312
9,Class_9,0.44,0.56,0.44,0.22666666666666666,0.02666666666666667,0.30666666666666664,0.25333333333333335,0.06666666666666667,0.12,0.16,0.06666666666666667,0.02666666666666667,0.09333333333333334,0.21333333333333335
10,Class_10,0.4024390243902439,0.5975609756097561,0.4024390243902439,0.3170731707317073,0.024390243902439025,0.25609756097560976,0.23170731707317074,0.06097560975609756,0.10975609756097561,0.21951219512195122,0.0975609756097561,0.024390243902439025,0.08536585365853659,0.17073170731707318
11,Class_11,0.4177215189873418,0.5822784810126582,0.4177215189873418,0.2911392405063291,0.10126582278481013,0.189873417721519,0.22784810126582278,0.012658227848101266,0.17721518987341772,0.20253164556962025,0.08860759493670886,0.10126582278481013,0.0379746835443038,0.1518987341772152
12,Class_12,0.4358974358974359,0.5641025641025641,0.4358974358974359,0.24358974358974358,0.05128205128205128,0.2692307692307692,0.23076923076923078,0.05128205128205128,0.15384615384615385,0.10256410256410256,0.14102564102564102,0.05128205128205128,0.07692307692307693,0.19230769230769232
13,Class_13,0.5217391304347826,0.4782608695652174,0.5217391304347826,0.17391304347826086,0.08695652173913043,0.21739130434782608,0.3333333333333333,0.028985507246376812,0.15942028985507245,0.057971014492753624,0.11594202898550725,0.08695652173913043,0.043478260869565216,0.17391304347826086
14,Class_14,0.43037974683544306,0.569620253164557,0.43037974683544306,0.22784810126582278,0.05063291139240506,0.2911392405063291,0.189873417721519,0.012658227848101266,0.22784810126582278,0.08860759493670886,0.13924050632911392,0.05063291139240506,0.0759493670886076,0.21518987341772153
