Unnamed: 0,x1,y1,x2,y2,class,class_name,image
0.0,39,116,569,375,14,Audi TTS Coupe 2012,train/00001.jpg
1.0,36,116,868,587,3,Acura TL Sedan 2012,train/00002.jpg
2.0,85,109,601,381,91,Dodge Dakota Club Cab 2007,train/00003.jpg
3.0,621,393,1484,1096,134,Hyundai Sonata Hybrid Sedan 2012,train/00004.jpg
4.0,14,36,133,99,106,Ford F-450 Super Duty Crew Cab 2012,train/00005.jpg
5.0,259,289,515,416,123,Geo Metro Convertible 1993,train/00006.jpg
6.0,88,80,541,397,89,Dodge Journey SUV 2012,train/00007.jpg
7.0,73,79,591,410,96,Dodge Charger Sedan 2012,train/00008.jpg
8.0,20,126,1269,771,167,Mitsubishi Lancer Sedan 2012,train/00009.jpg
9.0,21,110,623,367,58,Chevrolet Traverse SUV 2012,train/00010.jpg
10.0,51,93,601,393,49,Buick Verano Sedan 2012,train/00011.jpg
11.0,6,62,499,286,186,Toyota Sequoia SUV 2012,train/00012.jpg
12.0,30,36,418,307,135,Hyundai Elantra Sedan 2007,train/00013.jpg
13.0,31,246,778,540,85,Dodge Caravan Minivan 1997,train/00014.jpg
14.0,32,77,589,379,193,Volvo C30 Hatchback 2012,train/00015.jpg
15.0,27,49,611,396,172,Plymouth Neon Coupe 1999,train/00016.jpg
16.0,39,52,233,150,14,Audi TTS Coupe 2012,train/00017.jpg
17.0,3,8,190,147,73,Chevrolet Malibu Sedan 2007,train/00018.jpg
18.0,247,287,1366,761,192,Volkswagen Beetle Hatchback 2012,train/00019.jpg
19.0,17,281,961,596,57,Chevrolet Corvette Ron Fellows Edition Z06 2007,train/00020.jpg
20.0,17,156,695,375,79,Chrysler 300 SRT-8 2010,train/00021.jpg
21.0,212,538,1893,1131,36,BMW M6 Convertible 2010,train/00022.jpg
22.0,11,28,476,234,120,GMC Yukon Hybrid SUV 2012,train/00023.jpg
23.0,53,126,973,621,170,Nissan Juke Hatchback 2012,train/00024.jpg
24.0,34,87,567,343,194,Volvo 240 Sedan 1993,train/00025.jpg
25.0,30,174,598,379,134,Hyundai Sonata Hybrid Sedan 2012,train/00026.jpg
26.0,80,107,606,336,184,Suzuki SX4 Sedan 2012,train/00027.jpg
27.0,45,115,585,382,86,Dodge Ram Pickup 3500 Crew Cab 2010,train/00028.jpg
28.0,28,139,1564,1126,180,Spyker C8 Coupe 2009,train/00029.jpg
29.0,82,109,874,521,194,Volvo 240 Sedan 1993,train/00030.jpg
30.0,55,318,446,564,154,Land Rover Range Rover SUV 2012,train/00031.jpg
31.0,12,31,471,350,139,Hyundai Elantra Touring Hatchback 2012,train/00032.jpg
32.0,34,197,1011,656,66,Chevrolet Cobalt SS 2010,train/00033.jpg
33.0,37,63,614,397,133,Hyundai Veracruz SUV 2012,train/00034.jpg
34.0,223,87,1111,670,154,Land Rover Range Rover SUV 2012,train/00035.jpg
35.0,138,41,521,223,104,Ferrari 458 Italia Coupe 2012,train/00036.jpg
36.0,31,87,616,344,38,BMW Z4 Convertible 2012,train/00037.jpg
